Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Andorra,AND,2020,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,15.05597019
Andorra,AND,2019,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,14.57425785
Andorra,AND,2018,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,14.52849674
Andorra,AND,2017,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,14.12029457
Andorra,AND,2016,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,11.59596729
Andorra,AND,2015,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,15.75210571
Andorra,AND,2014,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,21.67168999
Andorra,AND,2013,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,11.1890831
Andorra,AND,2012,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,15.37074852
Andorra,AND,2011,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,23.76626968
Andorra,AND,2010,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,24.52881241
Andorra,AND,2009,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,16.87077713
Andorra,AND,2008,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,24.80569077
Andorra,AND,2007,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,21.89482689
Andorra,AND,2006,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,23.28826904
Andorra,AND,2005,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,18.77888107
Andorra,AND,2004,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,27.70528984
Andorra,AND,2003,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,30.21512604
Andorra,AND,2002,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,30.31304932
Andorra,AND,2001,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,18.42596626
Andorra,AND,2000,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,30.41848755
