Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Andorra,AND,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Andorra,AND,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Andorra,AND,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Andorra,AND,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Andorra,AND,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Andorra,AND,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Andorra,AND,2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,30.9358154312
Andorra,AND,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,31.854123801
Andorra,AND,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,18.0436834805
Andorra,AND,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Andorra,AND,2020,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.08028059086901
Andorra,AND,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.01087465277866
Andorra,AND,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.89580638748632
Andorra,AND,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.0219190390452
Andorra,AND,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.1068248002358
Andorra,AND,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,11.1088936507291
Andorra,AND,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.4359992732348
Andorra,AND,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,11.2698563251216
